delude, antique, Pergamon, directory, integrate, pectoral, wiener, inconstant, quack, slob, elliptic, architect, trainmen, Richardson, Johnsen, pot, brethren, slick, Kankakee, pairwise, Bruckner, accrual, Scotland, sewerage, dermatology, obsessive, Columbia, eschew, carport, preparation, Seneca, ropy, Roseland, frog, playa, handicraftsman, linoleic, scorpion, trill, migrate
89 : 71 | 63 | 19 | 43 | debauch | stablemen | solo | actinic | gregarious | immigrant | monologue | 84 | 24 | abandon | 11 | easy | 72 | transgressor | escritoire | mortgage | 13 | 5 | 15 | 37 | FBI | depend | 80 | Healey | 82 | 60 | conifer | 35 | 65 | 70 | halide | dump | pup | 67 | 7
Linda : Argus | 21 | 77 | 24 | 55 | 43 | 52 | concept | 61 | 60 | 32 | 34 | 73 | 25 | dollop | 30 | officio | 19 | 91 | 89 | dress | 24 | pilgrimage | explode | goober | mummy | 97 | 32 | Gallagher | 20 | 0 | 67 | twinkle | 36 | 30 | spit | 58 | 42 | 52
kava : 45 | 57 | cutworm | 70 | condolence | Frenchmen | 84 | 98 | 51 | 15 | 74 | 33 | Galloway | 36 | 21 | 55 | 54 | inert | 55 | 27 | inflict | 56 | espousal | 50 | 42 | 14 | poise | 65 | titmice | 17 | 90 | downgrade | 55 | aldermen | 52 | 62 | 26 | 32 | colloquia
6 : 2 | 22 | 11 | 40 | ironic | bookend | Sterno | 89 | 51 | 80 | fruit | 4 | 44 | 7 | Arlen | 56 | 62 | 92 | 37 | 86 | 38 | 72 | 74 | upholster | clownish | graphic | 21 | 95 | bromide | 35 | 98 | sled | 69 | 90 | 74 | Katharine | luncheon | prolusion | 32
Cargill : forage | beer | 74 | imbecile | 15 | 51 | 38 | lawgiving | 67 | 35 | 11 | 27 | 19 | Hanley | 27 | 31 | 66 | 10 | Naomi | 96 | 48 | perfidy | admix | 31 | cater | 89 | 53 | 52 | 58 | 11 | martin | pennant | agreeable | cotton | 17 | 6 | 13 | 5 | 35
63 : soapsud | allemand | 91 | 46 | 55 | 9 | 0 | 79 | 20 | 23 | telepathy | stonewall | 50 | 79 | 54 | 68 | joint | 11 | 40 | 21 | 12 | weasel | 46 | amphibole | 49 | 66 | downtown | 84 | 48 | 60 | 27 | 17 | 23 | afro | stalactite | 7 | 40 | 73 | chiropractor
23 : Waldo | 98 | hillock | 62 | 46 | 6 | 52 | pantaloon | bushmaster | 7 | 66 | 35 | 40 | 23 | 61 | palladium | 81 | 66 | 88 | 34 | 51 | 62 | pro | diabetes | coroner | conceit | 35 | 81 | 36 | 66 | jet | chap | 11 | 40 | 25 | gunk | 65 | 9 | 63
3 : 4 | 59 | 86 | Saginaw | 28 | jerk | onset | 22 | 3 | 15 | teletypewrite | 41 | 70 | cocktail | 79 | 76 | weir | 17 | 26 | Egyptology | 84 | 37 | 43 | rosary | hijack | 46 | 85 | 55 | 63 | 47 | irreversible | 59 | holden | 82 | 26 | 59 | 74 | 41 | stride
70 : 4 | 48 | 82 | pernicious | 92 | depart | 26 | inferring | eukaryote | 18 | demurring | 40 | 49 | 78 | Ms | whelp | 70 | 99 | 41 | federal | 69 | butternut | transplantation | 86 | 63 | 5 | 83 | 93 | 16 | consistent | 54 | 71 | still | brokerage | 84 | rabble | warehouse | 65 | Claudia
70 : 68 | 50 | betide | 45 | 19 | farce | 18 | 1 | coexist | milk | 20 | invidious | Copernicus | frighten | 19 | rotenone | 67 | 1 | 46 | Bogota | 9 | keen | bunny | aggregate | gimbal | Culbertson | 34 | 0 | 67 | peddle | anamorphic | 18 | 91 | ytterbium | Kowloon | customary | 94 | 64 | phenolic
ancestry : slog | 14 | easygoing | 74 | 69 | 85 | insuperable | 28 | 42 | 26 | boutique | delectate | trombone | dick | 74 | 62 | regressive | dishwater | Suzuki | 5 | 97 | 2 | Berlioz | empathy | 18 | Mafia | 55 | 2 | 29 | 16 | sixty | query | inertial | 12 | 22 | 13 | Mach | kittenish | retrieval
57 : 77 | Blythe | 78 | seedbed | 90 | decompile | 83 | 86 | 37 | 29 | 20 | Alger | Ising | 84 | 25 | demure | 8 | simpleton | syllogistic | consanguineous | 85 | 64 | 85 | 89 | 84 | 17 | Orono | Borneo | 8 | 28 | 63 | 39 | 19 | 90 | calliope | 58 | recessive | 35 | 88
39 : encomia | Letitia | 82 | 53 | 15 | 55 | Hewlett | schema | firefly | 49 | 2 | turquoise | habeas | 15 | backbone | 90 | Mohr | folly | slender | 86 | 52 | 97 | 58 | 48 | password | 17 | 51 | 71 | neodymium | 27 | Graff | 42 | faith | spheroidal | 94 | 35 | 62 | 37 | 89
31 : zigging | 33 | 51 | asymptote | 3 | inopportune | 97 | potassium | 95 | Pythagorean | crayon | 64 | protector | sarong | 98 | 70 | 38 | Laurie | castor | 1 | scriptwriter | readout | 91 | 2 | 77 | insuppressible | 51 | 11 | presidential | 1 | 63 | mirage | selenate | insofar | 29 | 92 | vignette | torrent | 36
cubicle : jug | 99 | 94 | 14 | 53 | Jacqueline | 80 | 85 | heterogeneous | 45 | ally | Manama | 10 | 28 | bedazzle | 29 | 0 | 83 | 24 | 50 | riffle | 97 | 67 | 67 | 93 | 26 | fermium | venerable | 79 | 47 | 33 | 59 | gala | 50 | shuttlecock | 28 | 4 | reductio | 29
37 : sterling | 47 | tidbit | 63 | 82 | 3 | wit | 83 | 66 | borosilicate | 5 | Jukes | 58 | racemose | 60 | teleost | 23 | bid | creekside | jaunty | 44 | 87 | 29 | 97 | 9 | 86 | 37 | 31 | 27 | 67 | 78 | 33 | 21 | mandible | nightshirt | 40 | 52 | 92 | kirk
14 : loud | sera | 52 | 1 | 22 | 19 | elves | 22 | 76 | sunk | 21 | 0 | 14 | debugger | 52 | 70 | stopwatch | 95 | 75 | appendices | 66 | court | 32 | 73 | 79 | Fargo | 49 | 25 | 90 | tripoli | 83 | citywide | 17 | trial | 47 | would | 70 | fermentation | 54
crux : 43 | 21 | charge | 55 | transgress | Benzedrine | Nyquist | 25 | 5 | 83 | aesthete | ejaculate | 24 | 63 | 60 | 58 | 81 | directorate | 60 | sera | 33 | 72 | 79 | 98 | 49 | 44 | connector | 28 | fruitful | 75 | 8 | queen | 72 | 0 | contingent | philodendron | 71 | 89 | run
carboy : 76 | 63 | detain | 49 | 9 | 51 | skeptic | lime | 47 | 42 | invulnerable | 46 | inopportune | Parsifal | 85 | coordinate | preparation | help | 29 | surreal | 69 | Dutchman | 94 | 80 | 90 | 13 | dollop | mucilage | 94 | 78 | biography | filbert | appointe | 93 | 2 | borrow | 38 | 6 | 56
12 : 52 | 2 | 18 | 44 | cougar | 19 | 4 | censorial | 1 | 87 | 82 | 39 | 69 | sepia | girth | amply | 44 | 44 | 4 | hardcopy | 80 | simpleton | heterogamous | 65 | monastery | bacterium | Yuki | 2 | 37 | 74 | 3 | 6 | fallacy | 69 | 4 | 18 | brighten | ecology | receive
wigging : 26 | 65 | 44 | Doyle | Callaghan | 40 | 72 | Signora | threesome | 77 | 81 | 2 | profiteer | 80 | Lang | 47 | washout | 35 | cosmic | Arden | 61 | 13 | incurrer | 41 | 58 | 93 | 11 | 31 | 76 | Elmhurst | 52 | emissive | 13 | 10 | 52 | 2 | 69 | 76 | 20
space : bring | 62 | 54 | Ghana | 8 | destinate | 49 | slink | bulky | urinary | 94 | 88 | 49 | downstairs | Abram | sign | 89 | 75 | Diana | 9 | 59 | Monaco | visionary | anonymity | fresco | CZ | neutron | 83 | oat | 44 | 78 | 56 | inviolate | 90 | 22 | 0 | Perth | 70 | 52
54 : Araby | 24 | vacuole | 41 | 98 | 14 | 39 | exhumation | 42 | 51 | 34 | cathodic | town | 40 | 60 | 0 | ineducable | extracellular | Shea | 33 | dogmatist | 11 | 5 | TN | 20 | 36 | Burnett | 69 | 74 | basophilic | 5 | Lorenz | 62 | obtrusive | clout | 14 | parry | 44 | 1
